[367 308],[367 308],[367 308],[367 308]
[335 294],[338 292],[341 295],[338 297]
[ 30 279],[ 46 279],[ 46 295],[ 30 295]
[ 47 264],[ 53 264],[ 53 272],[ 47 272]
[379 275],[478 254],[480 262],[380 283]
[108 250],[138 250],[138 289],[108 289]
[451 241],[459 241],[459 254],[451 254]
[201 241],[204 241],[204 245],[201 245]
[383 233],[383 233],[383 233],[383 233]
[220 228],[221 228],[223 230],[223 231]
[396 228],[400 224],[402 226],[398 230]
[131 223],[139 218],[146 232],[137 236]
[342 214],[342 214],[342 214],[342 214]
[460 211],[473 208],[480 245],[467 248]
[441 209],[447 209],[447 217],[441 217]
[329 196],[329 196],[329 195],[329 195]
[267 191],[271 191],[271 197],[267 197]
[294 185],[298 185],[298 190],[294 190]
[289 179],[291 177],[293 179],[291 181]
[392 169],[395 169],[395 172],[392 172]
[ 83 168],[105 168],[105 185],[ 83 185]
[227 173],[242 166],[258 198],[243 205]
[349 157],[353 157],[353 163],[349 163]
[213 157],[220 157],[220 172],[213 172]
[338 149],[341 149],[341 152],[338 152]
[327 139],[332 139],[332 146],[327 146]
[359 131],[362 131],[362 134],[359 134]
[199 130],[209 130],[209 146],[199 146]
[ 23 112],[ 35 111],[ 36 131],[ 25 132]
[ 10 111],[ 18 107],[ 23 117],[ 15 120]
[ 86 106],[ 91 103],[ 95 112],[ 91 114]
[251  98],[251  98],[250  98],[250  98]
[426  90],[432  90],[432  97],[426  97]
[445 109],[453  86],[466  90],[458 113]
[470  86],[472  83],[474  85],[472  88]
[420  82],[424  82],[424  86],[420  86]
[123  79],[129  68],[145  77],[139  88]
[257  93],[272  65],[284  71],[270  99]
[ 0 60],[11 60],[ 11 100],[  0 100]
[72 60],[72 56],[75 56],[75 60]
[437  50],[439  49],[441  51],[439  52]
[280  42],[295  42],[295  65],[280  65]
[142  41],[148  41],[148  50],[142  50]
[361  36],[368  36],[368  50],[361  50]
[284  24],[291  24],[291  32],[284  32]
[423  24],[429  18],[436  24],[430  30]
[222  19],[228  19],[228  25],[222  25]
[124  19],[124  19],[124  19],[124  19]
[435   9],[435   9],[435   8],[435   8]
[378   2],[386   2],[386  10],[378  10]
[397   0],[408   0],[408   5],[397   5]
[257   0],[278   0],[278   7],[257   7]
[31  0],[33  0],[33  1],[31  1]
[5 0],[13  0],[13 17],[ 5 17]
